customer_id,event_datetime,event_name,product_id,page_name,event_duration,is_scroll,app_version
1,2024-10-26 04:18:33.144311,wishlist,P9031,Product Page,236.9,False,v3.7.4
1,2024-10-27 07:47:45.144311,login,,Cart Page,195.77,True,v3.7.4
1,2024-10-27 16:22:41.144311,product_view,P2683,Product Page,204.35,False,v3.7.4
1,2024-10-29 16:27:45.144311,product_view,P3525,Checkout Page,56.2,False,v3.7.4
1,2024-10-30 01:15:38.144311,product_view,P6723,Home,179.42,True,v3.7.4
1,2024-10-30 02:48:32.144311,buy_button_click,P3637,Product Page,126.1,False,v3.7.4
1,2024-10-31 02:18:51.144311,login,,Product Page,67.36,True,v3.7.4
1,2024-10-31 10:51:11.144311,add_to_cart,P8538,Cart Page,157.76,True,v3.7.4
1,2024-10-31 12:06:42.144311,product_view,P2600,Cart Page,9.62,False,v3.7.4
1,2024-11-06 15:55:26.144311,wishlist,P7787,Checkout Page,26.15,True,v3.7.4
1,2024-11-06 17:31:58.144311,product_view,P3006,Product Page,120.65,False,v3.7.4
1,2024-11-07 06:18:54.144311,add_to_cart,P4055,Home,127.26,False,v3.7.4
1,2024-11-14 05:36:15.144311,product_view,P1171,Cart Page,127.62,False,v3.7.4
1,2024-11-14 17:40:27.144311,product_view,P2083,Cart Page,10.36,False,v3.7.4
1,2024-11-15 20:08:04.144311,product_view,P5593,Home,29.15,True,v3.7.4
1,2024-11-16 10:38:19.144311,login,,Checkout Page,29.87,True,v3.7.4
1,2024-11-16 22:52:52.144311,product_view,P2168,Cart Page,79.22,False,v3.7.4
1,2024-11-18 22:05:07.144311,login,,Cart Page,284.02,True,v3.7.4
1,2024-11-20 16:40:25.144311,wishlist,P5722,Cart Page,208.24,True,v3.7.4
1,2024-11-26 14:41:21.144311,login,,Product Page,107.18,False,v3.7.4
1,2024-11-28 02:42:49.144311,wishlist,P5466,Checkout Page,259.77,True,v3.7.4
1,2024-11-28 20:51:26.144311,buy_button_click,P2566,Checkout Page,81.86,False,v3.7.4
